index,total,onset,offset,precision,recall,f1,der,work_dir
7509,9801,0.76,0.84,0.7250220881445262,0.4648090006880835,0.5664615682514831,0.7114783297406143,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p76_offset_0p84
5684,9801,0.58,0.41,0.593870740391494,0.5413465451971767,0.5663935489458567,0.8288630924213014,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p58_offset_0p41
7411,9801,0.75,0.85,0.7205754832507407,0.46655027632936164,0.56638429098819,0.7143684317488611,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p85
7412,9801,0.75,0.86,0.7210774334001716,0.46633026417952766,0.5663770425217879,0.7140526297279918,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p86
7605,9801,0.77,0.81,0.7267590793551304,0.46398386064791597,0.5663766243270876,0.7104609875131713,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p81
7417,9801,0.75,0.91,0.7227504486058708,0.46559666804488875,0.5663500099992049,0.7130078109907788,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p91
7699,9801,0.78,0.76,0.7268187211219203,0.4639196080006083,0.566346858824745,0.7104487016304317,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p78_offset_0p76
7602,9801,0.77,0.78,0.7257441890092069,0.4643469536842524,0.5663383101192887,0.7111278930901158,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p78
8269,9801,0.84,0.52,0.6968714531617063,0.476990972128845,0.5663379025189736,0.7304928896083498,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p84_offset_0p52
7603,9801,0.77,0.79,0.7260097577934869,0.46422098263082956,0.5663254219804682,0.7109722817888289,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p79
7905,9801,0.8,0.84,0.7387111776066377,0.45916131080972883,0.5663166921348719,0.703248196216781,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p80_offset_0p84
6279,9801,0.64,0.42,0.6064998730706742,0.5311067732279027,0.5663050433078352,0.8134779364441652,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p64_offset_0p42
7903,9801,0.8,0.82,0.7379616497054097,0.45942271556570513,0.566294925713752,0.703710924946313,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p80_offset_0p82
8265,9801,0.84,0.48,0.6887022617998874,0.48082010682967763,0.5662856974347422,0.7365135945960135,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p84_offset_0p48
8083,9801,0.82,0.64,0.7106065063934038,0.47069013715861674,0.5662853200943467,0.7209977547660444,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p64
7373,9801,0.75,0.47,0.658661028775847,0.49662292353946813,0.5662783856325857,0.7607427780906225,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p47
8279,9801,0.84,0.62,0.7116320316705544,0.47020403709364395,0.5662583213703032,0.720332331201493,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p84_offset_0p62
8181,9801,0.83,0.63,0.7102114376418246,0.47079684205092787,0.5662370159118749,0.7213030493190455,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p83_offset_0p63
8091,9801,0.82,0.72,0.7266412560218238,0.46384402536855474,0.5662366607311325,0.7106517373283013,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p72
8186,9801,0.83,0.68,0.72023910257877,0.46648725375234046,0.5662339244672133,0.7147093686999187,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p83_offset_0p68
7516,9801,0.76,0.91,0.7275027042744983,0.46347747924334187,0.566224567270154,0.710125119044498,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p76_offset_0p91
7769,9801,0.79,0.47,0.6654500030022215,0.4927376798494287,0.566216158900576,0.7549824923206936,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p79_offset_0p47
8267,9801,0.84,0.5,0.6934653068677361,0.4784158825845446,0.5662089635246246,0.7330598239941332,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p84_offset_0p50
7413,9801,0.75,0.87,0.721117937723562,0.4660839388996522,0.5662078125775427,0.7141673671274742,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p87
7414,9801,0.75,0.88,0.7217127719419091,0.4658319967928065,0.5662050147764552,0.7137894539672056,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p88
7418,9801,0.75,0.92,0.7225549024569797,0.4654706969914659,0.5661967792906064,0.7132597530976247,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p92
7990,9801,0.81,0.7,0.7200852341623006,0.4664516261744079,0.5661601247918568,0.7148695445993771,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p70
7991,9801,0.81,0.71,0.721455326815386,0.4658743230667568,0.5661570264608259,0.7139937938359815,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p71
